from_id,to_id,dist_km,dur_min
08 - BARRANQUILLA,41 - NEIVA,1199.8,898.3103333333333
18 - FLORENCIA,70 - SINCELEJO,1204.27,939.047
52 - SANDONÁ,85 - YOPAL,1208.3,1073.5381666666667
13 - CARTAGENA DE INDIAS,19 - POPAYÁN,1222.85,1130.1985
54 - SAN JOSÉ DE CÚCUTA,86 - MOCOA,1243.33,936.9699999999999
23 - MONTERÍA,86 - MOCOA,1253.97,997.4253333333332
20 - ASTREA,86 - MOCOA,1278.02,960.5401666666668
08 - BARRANQUILLA,19 - POPAYÁN,1290.19,1169.679
70 - SINCELEJO,86 - MOCOA,1299.93,1004.0523333333333
18 - FLORENCIA,47 - PEDRAZA,1369.29,1065.7826666666667
13 - CARTAGENA DE INDIAS,18 - FLORENCIA,1384.28,1073.973
08 - BARRANQUILLA,18 - FLORENCIA,1416.43,1049.0905
52 - SANDONÁ,54 - SAN JOSÉ DE CÚCUTA,1439.01,1182.635
23 - MONTERÍA,52 - SANDONÁ,1447.99,1256.2338333333332
47 - PEDRAZA,86 - MOCOA,1464.32,1130.5901666666666
20 - ASTREA,52 - SANDONÁ,1472.03,1219.3486666666665
13 - CARTAGENA DE INDIAS,86 - MOCOA,1479.66,1141.3438333333334
52 - SANDONÁ,70 - SINCELEJO,1494.39,1263.0321666666666
08 - BARRANQUILLA,86 - MOCOA,1511.81,1116.4613333333332
47 - PEDRAZA,52 - SANDONÁ,1658.34,1389.3986666666667
13 - CARTAGENA DE INDIAS,52 - SANDONÁ,1673.68,1400.1525
08 - BARRANQUILLA,52 - SANDONÁ,1705.83,1375.2698333333333
05 - MEDELLÍN,"11 - BOGOTÁ, D.C.",NA,NA
08 - BARRANQUILLA,"11 - BOGOTÁ, D.C.",NA,NA
"11 - BOGOTÁ, D.C.",13 - CARTAGENA DE INDIAS,NA,NA
"11 - BOGOTÁ, D.C.",15 - TUNJA,NA,NA
"11 - BOGOTÁ, D.C.",17 - MANIZALES,NA,NA
"11 - BOGOTÁ, D.C.",18 - FLORENCIA,NA,NA
"11 - BOGOTÁ, D.C.",19 - POPAYÁN,NA,NA
"11 - BOGOTÁ, D.C.",20 - ASTREA,NA,NA
"11 - BOGOTÁ, D.C.",23 - MONTERÍA,NA,NA
"11 - BOGOTÁ, D.C.",25 - ALBÁN,NA,NA
05 - MEDELLÍN,27 - RIOSUCIO,NA,NA
08 - BARRANQUILLA,27 - RIOSUCIO,NA,NA
"11 - BOGOTÁ, D.C.",27 - RIOSUCIO,NA,NA
13 - CARTAGENA DE INDIAS,27 - RIOSUCIO,NA,NA
15 - TUNJA,27 - RIOSUCIO,NA,NA
17 - MANIZALES,27 - RIOSUCIO,NA,NA
18 - FLORENCIA,27 - RIOSUCIO,NA,NA
19 - POPAYÁN,27 - RIOSUCIO,NA,NA
20 - ASTREA,27 - RIOSUCIO,NA,NA
23 - MONTERÍA,27 - RIOSUCIO,NA,NA
25 - ALBÁN,27 - RIOSUCIO,NA,NA
"11 - BOGOTÁ, D.C.",41 - NEIVA,NA,NA
27 - RIOSUCIO,41 - NEIVA,NA,NA
05 - MEDELLÍN,44 - BARRANCAS,NA,NA
08 - BARRANQUILLA,44 - BARRANCAS,NA,NA
"11 - BOGOTÁ, D.C.",44 - BARRANCAS,NA,NA
13 - CARTAGENA DE INDIAS,44 - BARRANCAS,NA,NA
15 - TUNJA,44 - BARRANCAS,NA,NA
17 - MANIZALES,44 - BARRANCAS,NA,NA
18 - FLORENCIA,44 - BARRANCAS,NA,NA
19 - POPAYÁN,44 - BARRANCAS,NA,NA
20 - ASTREA,44 - BARRANCAS,NA,NA
23 - MONTERÍA,44 - BARRANCAS,NA,NA
25 - ALBÁN,44 - BARRANCAS,NA,NA
27 - RIOSUCIO,44 - BARRANCAS,NA,NA
41 - NEIVA,44 - BARRANCAS,NA,NA
"11 - BOGOTÁ, D.C.",47 - PEDRAZA,NA,NA
27 - RIOSUCIO,47 - PEDRAZA,NA,NA
44 - BARRANCAS,47 - PEDRAZA,NA,NA
"11 - BOGOTÁ, D.C.",50 - VILLAVICENCIO,NA,NA
27 - RIOSUCIO,50 - VILLAVICENCIO,NA,NA
44 - BARRANCAS,50 - VILLAVICENCIO,NA,NA
"11 - BOGOTÁ, D.C.",52 - SANDONÁ,NA,NA
27 - RIOSUCIO,52 - SANDONÁ,NA,NA
44 - BARRANCAS,52 - SANDONÁ,NA,NA
"11 - BOGOTÁ, D.C.",54 - SAN JOSÉ DE CÚCUTA,NA,NA
27 - RIOSUCIO,54 - SAN JOSÉ DE CÚCUTA,NA,NA
44 - BARRANCAS,54 - SAN JOSÉ DE CÚCUTA,NA,NA
"11 - BOGOTÁ, D.C.",63 - ARMENIA,NA,NA
27 - RIOSUCIO,63 - ARMENIA,NA,NA
44 - BARRANCAS,63 - ARMENIA,NA,NA
"11 - BOGOTÁ, D.C.",66 - PEREIRA,NA,NA
27 - RIOSUCIO,66 - PEREIRA,NA,NA
44 - BARRANCAS,66 - PEREIRA,NA,NA
"11 - BOGOTÁ, D.C.",68 - AGUADA,NA,NA
27 - RIOSUCIO,68 - AGUADA,NA,NA
44 - BARRANCAS,68 - AGUADA,NA,NA
"11 - BOGOTÁ, D.C.",70 - SINCELEJO,NA,NA
27 - RIOSUCIO,70 - SINCELEJO,NA,NA
44 - BARRANCAS,70 - SINCELEJO,NA,NA
"11 - BOGOTÁ, D.C.",73 - IBAGUÉ,NA,NA
27 - RIOSUCIO,73 - IBAGUÉ,NA,NA
44 - BARRANCAS,73 - IBAGUÉ,NA,NA
"11 - BOGOTÁ, D.C.",76 - CALI,NA,NA
27 - RIOSUCIO,76 - CALI,NA,NA
44 - BARRANCAS,76 - CALI,NA,NA
05 - MEDELLÍN,81 - ARAUCA,NA,NA
08 - BARRANQUILLA,81 - ARAUCA,NA,NA
"11 - BOGOTÁ, D.C.",81 - ARAUCA,NA,NA
13 - CARTAGENA DE INDIAS,81 - ARAUCA,NA,NA
15 - TUNJA,81 - ARAUCA,NA,NA
17 - MANIZALES,81 - ARAUCA,NA,NA
18 - FLORENCIA,81 - ARAUCA,NA,NA
19 - POPAYÁN,81 - ARAUCA,NA,NA
20 - ASTREA,81 - ARAUCA,NA,NA
23 - MONTERÍA,81 - ARAUCA,NA,NA
25 - ALBÁN,81 - ARAUCA,NA,NA
27 - RIOSUCIO,81 - ARAUCA,NA,NA
41 - NEIVA,81 - ARAUCA,NA,NA
44 - BARRANCAS,81 - ARAUCA,NA,NA
47 - PEDRAZA,81 - ARAUCA,NA,NA
50 - VILLAVICENCIO,81 - ARAUCA,NA,NA
52 - SANDONÁ,81 - ARAUCA,NA,NA
54 - SAN JOSÉ DE CÚCUTA,81 - ARAUCA,NA,NA
63 - ARMENIA,81 - ARAUCA,NA,NA
66 - PEREIRA,81 - ARAUCA,NA,NA
68 - AGUADA,81 - ARAUCA,NA,NA
70 - SINCELEJO,81 - ARAUCA,NA,NA
73 - IBAGUÉ,81 - ARAUCA,NA,NA
76 - CALI,81 - ARAUCA,NA,NA
"11 - BOGOTÁ, D.C.",85 - YOPAL,NA,NA
27 - RIOSUCIO,85 - YOPAL,NA,NA
44 - BARRANCAS,85 - YOPAL,NA,NA
81 - ARAUCA,85 - YOPAL,NA,NA
"11 - BOGOTÁ, D.C.",86 - MOCOA,NA,NA
27 - RIOSUCIO,86 - MOCOA,NA,NA
44 - BARRANCAS,86 - MOCOA,NA,NA
81 - ARAUCA,86 - MOCOA,NA,NA
05 - MEDELLÍN,88 - SAN ANDRÉS,NA,NA
08 - BARRANQUILLA,88 - SAN ANDRÉS,NA,NA
"11 - BOGOTÁ, D.C.",88 - SAN ANDRÉS,NA,NA
13 - CARTAGENA DE INDIAS,88 - SAN ANDRÉS,NA,NA
15 - TUNJA,88 - SAN ANDRÉS,NA,NA
17 - MANIZALES,88 - SAN ANDRÉS,NA,NA
18 - FLORENCIA,88 - SAN ANDRÉS,NA,NA
19 - POPAYÁN,88 - SAN ANDRÉS,NA,NA
20 - ASTREA,88 - SAN ANDRÉS,NA,NA
23 - MONTERÍA,88 - SAN ANDRÉS,NA,NA
25 - ALBÁN,88 - SAN ANDRÉS,NA,NA
27 - RIOSUCIO,88 - SAN ANDRÉS,NA,NA
41 - NEIVA,88 - SAN ANDRÉS,NA,NA
44 - BARRANCAS,88 - SAN ANDRÉS,NA,NA
47 - PEDRAZA,88 - SAN ANDRÉS,NA,NA
50 - VILLAVICENCIO,88 - SAN ANDRÉS,NA,NA
52 - SANDONÁ,88 - SAN ANDRÉS,NA,NA
54 - SAN JOSÉ DE CÚCUTA,88 - SAN ANDRÉS,NA,NA
63 - ARMENIA,88 - SAN ANDRÉS,NA,NA
66 - PEREIRA,88 - SAN ANDRÉS,NA,NA
68 - AGUADA,88 - SAN ANDRÉS,NA,NA
70 - SINCELEJO,88 - SAN ANDRÉS,NA,NA
73 - IBAGUÉ,88 - SAN ANDRÉS,NA,NA
76 - CALI,88 - SAN ANDRÉS,NA,NA
81 - ARAUCA,88 - SAN ANDRÉS,NA,NA
85 - YOPAL,88 - SAN ANDRÉS,NA,NA
86 - MOCOA,88 - SAN ANDRÉS,NA,NA
05 - MEDELLÍN,91 - LETICIA,NA,NA
08 - BARRANQUILLA,91 - LETICIA,NA,NA
"11 - BOGOTÁ, D.C.",91 - LETICIA,NA,NA
13 - CARTAGENA DE INDIAS,91 - LETICIA,NA,NA
15 - TUNJA,91 - LETICIA,NA,NA
17 - MANIZALES,91 - LETICIA,NA,NA
18 - FLORENCIA,91 - LETICIA,NA,NA
19 - POPAYÁN,91 - LETICIA,NA,NA
20 - ASTREA,91 - LETICIA,NA,NA
23 - MONTERÍA,91 - LETICIA,NA,NA
25 - ALBÁN,91 - LETICIA,NA,NA
27 - RIOSUCIO,91 - LETICIA,NA,NA
41 - NEIVA,91 - LETICIA,NA,NA
44 - BARRANCAS,91 - LETICIA,NA,NA
47 - PEDRAZA,91 - LETICIA,NA,NA
50 - VILLAVICENCIO,91 - LETICIA,NA,NA
52 - SANDONÁ,91 - LETICIA,NA,NA
54 - SAN JOSÉ DE CÚCUTA,91 - LETICIA,NA,NA
63 - ARMENIA,91 - LETICIA,NA,NA
66 - PEREIRA,91 - LETICIA,NA,NA
68 - AGUADA,91 - LETICIA,NA,NA
70 - SINCELEJO,91 - LETICIA,NA,NA
73 - IBAGUÉ,91 - LETICIA,NA,NA
76 - CALI,91 - LETICIA,NA,NA
81 - ARAUCA,91 - LETICIA,NA,NA
85 - YOPAL,91 - LETICIA,NA,NA
86 - MOCOA,91 - LETICIA,NA,NA
88 - SAN ANDRÉS,91 - LETICIA,NA,NA
05 - MEDELLÍN,94 - INÍRIDA,NA,NA
08 - BARRANQUILLA,94 - INÍRIDA,NA,NA
"11 - BOGOTÁ, D.C.",94 - INÍRIDA,NA,NA
13 - CARTAGENA DE INDIAS,94 - INÍRIDA,NA,NA
15 - TUNJA,94 - INÍRIDA,NA,NA
17 - MANIZALES,94 - INÍRIDA,NA,NA
18 - FLORENCIA,94 - INÍRIDA,NA,NA
19 - POPAYÁN,94 - INÍRIDA,NA,NA
20 - ASTREA,94 - INÍRIDA,NA,NA
23 - MONTERÍA,94 - INÍRIDA,NA,NA
25 - ALBÁN,94 - INÍRIDA,NA,NA
27 - RIOSUCIO,94 - INÍRIDA,NA,NA
41 - NEIVA,94 - INÍRIDA,NA,NA
44 - BARRANCAS,94 - INÍRIDA,NA,NA
47 - PEDRAZA,94 - INÍRIDA,NA,NA
50 - VILLAVICENCIO,94 - INÍRIDA,NA,NA
52 - SANDONÁ,94 - INÍRIDA,NA,NA
54 - SAN JOSÉ DE CÚCUTA,94 - INÍRIDA,NA,NA
63 - ARMENIA,94 - INÍRIDA,NA,NA
66 - PEREIRA,94 - INÍRIDA,NA,NA
68 - AGUADA,94 - INÍRIDA,NA,NA
70 - SINCELEJO,94 - INÍRIDA,NA,NA
73 - IBAGUÉ,94 - INÍRIDA,NA,NA
76 - CALI,94 - INÍRIDA,NA,NA
81 - ARAUCA,94 - INÍRIDA,NA,NA
85 - YOPAL,94 - INÍRIDA,NA,NA
86 - MOCOA,94 - INÍRIDA,NA,NA
88 - SAN ANDRÉS,94 - INÍRIDA,NA,NA
91 - LETICIA,94 - INÍRIDA,NA,NA
