from_id,to_id,dist_km,from_depto,from_mpio,from_depto_id,to_depto,to_mpio,to_depto_id
18 - FLORENCIA,44 - BARRANCAS,NA,18,FLORENCIA,18,44,BARRANCAS,44
19 - POPAYÁN,44 - BARRANCAS,NA,19,POPAYÁN,19,44,BARRANCAS,44
20 - ASTREA,44 - BARRANCAS,NA,20,ASTREA,20,44,BARRANCAS,44
23 - MONTERÍA,44 - BARRANCAS,NA,23,MONTERÍA,23,44,BARRANCAS,44
25 - ALBÁN,44 - BARRANCAS,NA,25,ALBÁN,25,44,BARRANCAS,44
27 - RIOSUCIO,44 - BARRANCAS,NA,27,RIOSUCIO,27,44,BARRANCAS,44
41 - NEIVA,44 - BARRANCAS,NA,41,NEIVA,41,44,BARRANCAS,44
05 - MEDELLÍN,47 - PEDRAZA,NA,05,MEDELLÍN,05,47,PEDRAZA,47
08 - BARRANQUILLA,47 - PEDRAZA,NA,08,BARRANQUILLA,08,47,PEDRAZA,47
"11 - BOGOTÁ, D.C.",47 - PEDRAZA,NA,11,"BOGOTÁ, D.C.",11,47,PEDRAZA,47
13 - CARTAGENA DE INDIAS,47 - PEDRAZA,NA,13,CARTAGENA DE INDIAS,13,47,PEDRAZA,47
15 - TUNJA,47 - PEDRAZA,NA,15,TUNJA,15,47,PEDRAZA,47
17 - MANIZALES,47 - PEDRAZA,NA,17,MANIZALES,17,47,PEDRAZA,47
18 - FLORENCIA,47 - PEDRAZA,NA,18,FLORENCIA,18,47,PEDRAZA,47
19 - POPAYÁN,47 - PEDRAZA,NA,19,POPAYÁN,19,47,PEDRAZA,47
20 - ASTREA,47 - PEDRAZA,NA,20,ASTREA,20,47,PEDRAZA,47
23 - MONTERÍA,47 - PEDRAZA,NA,23,MONTERÍA,23,47,PEDRAZA,47
25 - ALBÁN,47 - PEDRAZA,NA,25,ALBÁN,25,47,PEDRAZA,47
27 - RIOSUCIO,47 - PEDRAZA,NA,27,RIOSUCIO,27,47,PEDRAZA,47
41 - NEIVA,47 - PEDRAZA,NA,41,NEIVA,41,47,PEDRAZA,47
44 - BARRANCAS,47 - PEDRAZA,NA,44,BARRANCAS,44,47,PEDRAZA,47
05 - MEDELLÍN,50 - VILLAVICENCIO,NA,05,MEDELLÍN,05,50,VILLAVICENCIO,50
08 - BARRANQUILLA,50 - VILLAVICENCIO,NA,08,BARRANQUILLA,08,50,VILLAVICENCIO,50
"11 - BOGOTÁ, D.C.",50 - VILLAVICENCIO,NA,11,"BOGOTÁ, D.C.",11,50,VILLAVICENCIO,50
13 - CARTAGENA DE INDIAS,50 - VILLAVICENCIO,NA,13,CARTAGENA DE INDIAS,13,50,VILLAVICENCIO,50
15 - TUNJA,50 - VILLAVICENCIO,NA,15,TUNJA,15,50,VILLAVICENCIO,50
