from_id,to_id,dist_km,dur_min
08 - BARRANQUILLA,66 - PEREIRA,972.63,825.566
13 - CARTAGENA DE INDIAS,73 - IBAGUÉ,976.2,776.9330000000001
20 - VALLEDUPAR,85 - YOPAL,976.36,847.8625
20 - VALLEDUPAR,50 - VILLAVICENCIO,985.25,799.7708333333334
41 - NEIVA,70 - SINCELEJO,987.4,788.2901666666668
19 - POPAYÁN,23 - MONTERÍA,991.65,990.4418333333334
20 - VALLEDUPAR,66 - PEREIRA,996.82,789.4254999999999
08 - BARRANQUILLA,73 - IBAGUÉ,1008.35,752.0503333333332
85 - YOPAL,86 - MOCOA,1012.13,825.1038333333333
54 - SAN JOSÉ DE CÚCUTA,76 - CALI,1012.55,862.6951666666666
68 - BUCARAMANGA,86 - MOCOA,1034.52,786.8141666666667
19 - POPAYÁN,70 - SINCELEJO,1037.82,997.1831666666666
44 - RIOHACHA,73 - IBAGUÉ,1046.64,777.6016666666667
20 - VALLEDUPAR,41 - NEIVA,1064.05,793.5368333333333
13 - CARTAGENA DE INDIAS,50 - VILLAVICENCIO,1088.85,929.4268333333333
17 - MANIZALES,44 - RIOHACHA,1092.23,861.3561666666667
13 - CARTAGENA DE INDIAS,76 - CALI,1094.57,967.9923333333334
08 - BARRANQUILLA,63 - ARMENIA,1097.76,852.3855
08 - BARRANQUILLA,85 - YOPAL,1112.1,952.6358333333334
08 - BARRANQUILLA,50 - VILLAVICENCIO,1121,904.5443333333334
19 - POPAYÁN,54 - SAN JOSÉ DE CÚCUTA,1128.46,985.9145000000001
44 - RIOHACHA,63 - ARMENIA,1136.05,877.9366666666666
20 - VALLEDUPAR,76 - CALI,1145.28,937.4131666666667
13 - CARTAGENA DE INDIAS,85 - YOPAL,1147.22,985.5321666666666
18 - FLORENCIA,54 - SAN JOSÉ DE CÚCUTA,1148.89,858.65
44 - RIOHACHA,85 - YOPAL,1150.4,978.1871666666667
18 - FLORENCIA,23 - MONTERÍA,1158.11,932.3058333333333
44 - RIOHACHA,50 - VILLAVICENCIO,1159.29,930.0955
08 - BARRANQUILLA,76 - CALI,1161.91,1007.4728333333334
13 - CARTAGENA DE INDIAS,41 - NEIVA,1167.65,923.1928333333333
44 - RIOHACHA,66 - PEREIRA,1170.86,919.75
52 - PASTO,85 - YOPAL,1187.56,1072.4266666666667
08 - BARRANQUILLA,41 - NEIVA,1199.8,898.3103333333333
18 - FLORENCIA,70 - SINCELEJO,1204.27,939.047
52 - PASTO,68 - BUCARAMANGA,1208.74,1044.6595
13 - CARTAGENA DE INDIAS,19 - POPAYÁN,1222.85,1130.1985
41 - NEIVA,44 - RIOHACHA,1238.25,926.5666666666667
54 - SAN JOSÉ DE CÚCUTA,86 - MOCOA,1243.33,936.9699999999999
23 - MONTERÍA,86 - MOCOA,1253.97,997.4253333333332
19 - POPAYÁN,20 - VALLEDUPAR,1272.96,1083.1783333333333
08 - BARRANQUILLA,19 - POPAYÁN,1290.19,1169.679
18 - FLORENCIA,20 - VALLEDUPAR,1293.39,955.914
70 - SINCELEJO,86 - MOCOA,1299.93,1004.0523333333333
44 - RIOHACHA,76 - CALI,1319.33,1067.7378333333334
20 - VALLEDUPAR,86 - MOCOA,1376.06,1011.6878333333333
13 - CARTAGENA DE INDIAS,18 - FLORENCIA,1384.28,1073.973
08 - BARRANQUILLA,18 - FLORENCIA,1416.43,1049.0905
52 - PASTO,54 - SAN JOSÉ DE CÚCUTA,1418.26,1181.5235
23 - MONTERÍA,52 - PASTO,1432.6,1260.0991666666666
19 - POPAYÁN,44 - RIOHACHA,1434.69,1204.588
18 - FLORENCIA,44 - RIOHACHA,1455.12,1077.3235
52 - PASTO,70 - SINCELEJO,1473.65,1261.9205
13 - CARTAGENA DE INDIAS,86 - MOCOA,1479.66,1141.3438333333334
08 - BARRANQUILLA,86 - MOCOA,1511.81,1116.4613333333332
44 - RIOHACHA,86 - MOCOA,1550.1,1142.0125
20 - VALLEDUPAR,52 - PASTO,1554.68,1274.3616666666667
13 - CARTAGENA DE INDIAS,52 - PASTO,1658.28,1404.0176666666666
08 - BARRANQUILLA,52 - PASTO,1690.43,1379.135
44 - RIOHACHA,52 - PASTO,1728.73,1404.6863333333333
05 - MEDELLÍN,"11 - BOGOTÁ, D.C.",NA,NA
08 - BARRANQUILLA,"11 - BOGOTÁ, D.C.",NA,NA
"11 - BOGOTÁ, D.C.",13 - CARTAGENA DE INDIAS,NA,NA
"11 - BOGOTÁ, D.C.",15 - TUNJA,NA,NA
"11 - BOGOTÁ, D.C.",17 - MANIZALES,NA,NA
"11 - BOGOTÁ, D.C.",18 - FLORENCIA,NA,NA
"11 - BOGOTÁ, D.C.",19 - POPAYÁN,NA,NA
"11 - BOGOTÁ, D.C.",20 - VALLEDUPAR,NA,NA
"11 - BOGOTÁ, D.C.",23 - MONTERÍA,NA,NA
05 - MEDELLÍN,27 - QUIBDÓ,NA,NA
08 - BARRANQUILLA,27 - QUIBDÓ,NA,NA
"11 - BOGOTÁ, D.C.",27 - QUIBDÓ,NA,NA
13 - CARTAGENA DE INDIAS,27 - QUIBDÓ,NA,NA
15 - TUNJA,27 - QUIBDÓ,NA,NA
17 - MANIZALES,27 - QUIBDÓ,NA,NA
18 - FLORENCIA,27 - QUIBDÓ,NA,NA
19 - POPAYÁN,27 - QUIBDÓ,NA,NA
20 - VALLEDUPAR,27 - QUIBDÓ,NA,NA
23 - MONTERÍA,27 - QUIBDÓ,NA,NA
"11 - BOGOTÁ, D.C.",41 - NEIVA,NA,NA
27 - QUIBDÓ,41 - NEIVA,NA,NA
"11 - BOGOTÁ, D.C.",44 - RIOHACHA,NA,NA
27 - QUIBDÓ,44 - RIOHACHA,NA,NA
05 - MEDELLÍN,47 - SANTA MARTA,NA,NA
08 - BARRANQUILLA,47 - SANTA MARTA,NA,NA
"11 - BOGOTÁ, D.C.",47 - SANTA MARTA,NA,NA
13 - CARTAGENA DE INDIAS,47 - SANTA MARTA,NA,NA
15 - TUNJA,47 - SANTA MARTA,NA,NA
17 - MANIZALES,47 - SANTA MARTA,NA,NA
18 - FLORENCIA,47 - SANTA MARTA,NA,NA
19 - POPAYÁN,47 - SANTA MARTA,NA,NA
20 - VALLEDUPAR,47 - SANTA MARTA,NA,NA
23 - MONTERÍA,47 - SANTA MARTA,NA,NA
27 - QUIBDÓ,47 - SANTA MARTA,NA,NA
41 - NEIVA,47 - SANTA MARTA,NA,NA
44 - RIOHACHA,47 - SANTA MARTA,NA,NA
"11 - BOGOTÁ, D.C.",50 - VILLAVICENCIO,NA,NA
27 - QUIBDÓ,50 - VILLAVICENCIO,NA,NA
47 - SANTA MARTA,50 - VILLAVICENCIO,NA,NA
"11 - BOGOTÁ, D.C.",52 - PASTO,NA,NA
27 - QUIBDÓ,52 - PASTO,NA,NA
47 - SANTA MARTA,52 - PASTO,NA,NA
"11 - BOGOTÁ, D.C.",54 - SAN JOSÉ DE CÚCUTA,NA,NA
27 - QUIBDÓ,54 - SAN JOSÉ DE CÚCUTA,NA,NA
47 - SANTA MARTA,54 - SAN JOSÉ DE CÚCUTA,NA,NA
"11 - BOGOTÁ, D.C.",63 - ARMENIA,NA,NA
27 - QUIBDÓ,63 - ARMENIA,NA,NA
47 - SANTA MARTA,63 - ARMENIA,NA,NA
"11 - BOGOTÁ, D.C.",66 - PEREIRA,NA,NA
27 - QUIBDÓ,66 - PEREIRA,NA,NA
47 - SANTA MARTA,66 - PEREIRA,NA,NA
"11 - BOGOTÁ, D.C.",68 - BUCARAMANGA,NA,NA
27 - QUIBDÓ,68 - BUCARAMANGA,NA,NA
47 - SANTA MARTA,68 - BUCARAMANGA,NA,NA
"11 - BOGOTÁ, D.C.",70 - SINCELEJO,NA,NA
27 - QUIBDÓ,70 - SINCELEJO,NA,NA
47 - SANTA MARTA,70 - SINCELEJO,NA,NA
"11 - BOGOTÁ, D.C.",73 - IBAGUÉ,NA,NA
27 - QUIBDÓ,73 - IBAGUÉ,NA,NA
47 - SANTA MARTA,73 - IBAGUÉ,NA,NA
"11 - BOGOTÁ, D.C.",76 - CALI,NA,NA
27 - QUIBDÓ,76 - CALI,NA,NA
47 - SANTA MARTA,76 - CALI,NA,NA
05 - MEDELLÍN,81 - ARAUCA,NA,NA
08 - BARRANQUILLA,81 - ARAUCA,NA,NA
"11 - BOGOTÁ, D.C.",81 - ARAUCA,NA,NA
13 - CARTAGENA DE INDIAS,81 - ARAUCA,NA,NA
15 - TUNJA,81 - ARAUCA,NA,NA
17 - MANIZALES,81 - ARAUCA,NA,NA
18 - FLORENCIA,81 - ARAUCA,NA,NA
19 - POPAYÁN,81 - ARAUCA,NA,NA
20 - VALLEDUPAR,81 - ARAUCA,NA,NA
23 - MONTERÍA,81 - ARAUCA,NA,NA
27 - QUIBDÓ,81 - ARAUCA,NA,NA
41 - NEIVA,81 - ARAUCA,NA,NA
44 - RIOHACHA,81 - ARAUCA,NA,NA
47 - SANTA MARTA,81 - ARAUCA,NA,NA
50 - VILLAVICENCIO,81 - ARAUCA,NA,NA
52 - PASTO,81 - ARAUCA,NA,NA
54 - SAN JOSÉ DE CÚCUTA,81 - ARAUCA,NA,NA
63 - ARMENIA,81 - ARAUCA,NA,NA
66 - PEREIRA,81 - ARAUCA,NA,NA
68 - BUCARAMANGA,81 - ARAUCA,NA,NA
70 - SINCELEJO,81 - ARAUCA,NA,NA
73 - IBAGUÉ,81 - ARAUCA,NA,NA
76 - CALI,81 - ARAUCA,NA,NA
"11 - BOGOTÁ, D.C.",85 - YOPAL,NA,NA
27 - QUIBDÓ,85 - YOPAL,NA,NA
47 - SANTA MARTA,85 - YOPAL,NA,NA
81 - ARAUCA,85 - YOPAL,NA,NA
"11 - BOGOTÁ, D.C.",86 - MOCOA,NA,NA
27 - QUIBDÓ,86 - MOCOA,NA,NA
47 - SANTA MARTA,86 - MOCOA,NA,NA
81 - ARAUCA,86 - MOCOA,NA,NA
05 - MEDELLÍN,88 - SAN ANDRÉS,NA,NA
08 - BARRANQUILLA,88 - SAN ANDRÉS,NA,NA
"11 - BOGOTÁ, D.C.",88 - SAN ANDRÉS,NA,NA
13 - CARTAGENA DE INDIAS,88 - SAN ANDRÉS,NA,NA
15 - TUNJA,88 - SAN ANDRÉS,NA,NA
17 - MANIZALES,88 - SAN ANDRÉS,NA,NA
18 - FLORENCIA,88 - SAN ANDRÉS,NA,NA
19 - POPAYÁN,88 - SAN ANDRÉS,NA,NA
20 - VALLEDUPAR,88 - SAN ANDRÉS,NA,NA
23 - MONTERÍA,88 - SAN ANDRÉS,NA,NA
27 - QUIBDÓ,88 - SAN ANDRÉS,NA,NA
41 - NEIVA,88 - SAN ANDRÉS,NA,NA
44 - RIOHACHA,88 - SAN ANDRÉS,NA,NA
47 - SANTA MARTA,88 - SAN ANDRÉS,NA,NA
50 - VILLAVICENCIO,88 - SAN ANDRÉS,NA,NA
52 - PASTO,88 - SAN ANDRÉS,NA,NA
54 - SAN JOSÉ DE CÚCUTA,88 - SAN ANDRÉS,NA,NA
63 - ARMENIA,88 - SAN ANDRÉS,NA,NA
66 - PEREIRA,88 - SAN ANDRÉS,NA,NA
68 - BUCARAMANGA,88 - SAN ANDRÉS,NA,NA
70 - SINCELEJO,88 - SAN ANDRÉS,NA,NA
73 - IBAGUÉ,88 - SAN ANDRÉS,NA,NA
76 - CALI,88 - SAN ANDRÉS,NA,NA
81 - ARAUCA,88 - SAN ANDRÉS,NA,NA
85 - YOPAL,88 - SAN ANDRÉS,NA,NA
86 - MOCOA,88 - SAN ANDRÉS,NA,NA
05 - MEDELLÍN,91 - LETICIA,NA,NA
08 - BARRANQUILLA,91 - LETICIA,NA,NA
"11 - BOGOTÁ, D.C.",91 - LETICIA,NA,NA
13 - CARTAGENA DE INDIAS,91 - LETICIA,NA,NA
15 - TUNJA,91 - LETICIA,NA,NA
17 - MANIZALES,91 - LETICIA,NA,NA
18 - FLORENCIA,91 - LETICIA,NA,NA
19 - POPAYÁN,91 - LETICIA,NA,NA
20 - VALLEDUPAR,91 - LETICIA,NA,NA
23 - MONTERÍA,91 - LETICIA,NA,NA
27 - QUIBDÓ,91 - LETICIA,NA,NA
41 - NEIVA,91 - LETICIA,NA,NA
44 - RIOHACHA,91 - LETICIA,NA,NA
47 - SANTA MARTA,91 - LETICIA,NA,NA
50 - VILLAVICENCIO,91 - LETICIA,NA,NA
52 - PASTO,91 - LETICIA,NA,NA
54 - SAN JOSÉ DE CÚCUTA,91 - LETICIA,NA,NA
63 - ARMENIA,91 - LETICIA,NA,NA
66 - PEREIRA,91 - LETICIA,NA,NA
68 - BUCARAMANGA,91 - LETICIA,NA,NA
70 - SINCELEJO,91 - LETICIA,NA,NA
73 - IBAGUÉ,91 - LETICIA,NA,NA
76 - CALI,91 - LETICIA,NA,NA
81 - ARAUCA,91 - LETICIA,NA,NA
85 - YOPAL,91 - LETICIA,NA,NA
86 - MOCOA,91 - LETICIA,NA,NA
88 - SAN ANDRÉS,91 - LETICIA,NA,NA
05 - MEDELLÍN,94 - INÍRIDA,NA,NA
08 - BARRANQUILLA,94 - INÍRIDA,NA,NA
"11 - BOGOTÁ, D.C.",94 - INÍRIDA,NA,NA
13 - CARTAGENA DE INDIAS,94 - INÍRIDA,NA,NA
15 - TUNJA,94 - INÍRIDA,NA,NA
17 - MANIZALES,94 - INÍRIDA,NA,NA
18 - FLORENCIA,94 - INÍRIDA,NA,NA
