"ano";"COD_DANE_DPTO_D";"DEPARTAMENTO_D";"COD_DANE_MUNIC_D";"MUNICIPIO_D";"quinquenio";"clase";"sexo";"poblacion"
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"30-34";"Cabecera Municipal";"hombres";874
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"30-34";"Cabecera Municipal";"mujeres";935
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"30-34";"Centros Poblados y Rural Disperso";"hombres";265
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"30-34";"Centros Poblados y Rural Disperso";"mujeres";256
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"35-39";"Cabecera Municipal";"hombres";712
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"35-39";"Cabecera Municipal";"mujeres";776
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"35-39";"Centros Poblados y Rural Disperso";"hombres";207
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"35-39";"Centros Poblados y Rural Disperso";"mujeres";191
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"40-44";"Cabecera Municipal";"hombres";594
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"40-44";"Cabecera Municipal";"mujeres";651
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"40-44";"Centros Poblados y Rural Disperso";"hombres";169
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"40-44";"Centros Poblados y Rural Disperso";"mujeres";155
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"45-49";"Cabecera Municipal";"hombres";506
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"45-49";"Cabecera Municipal";"mujeres";540
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"45-49";"Centros Poblados y Rural Disperso";"hombres";137
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"45-49";"Centros Poblados y Rural Disperso";"mujeres";120
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"5-9";"Cabecera Municipal";"hombres";1551
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"5-9";"Cabecera Municipal";"mujeres";1403
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"5-9";"Centros Poblados y Rural Disperso";"hombres";369
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"5-9";"Centros Poblados y Rural Disperso";"mujeres";341
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"50-54";"Cabecera Municipal";"hombres";451
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"50-54";"Cabecera Municipal";"mujeres";465
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"50-54";"Centros Poblados y Rural Disperso";"hombres";107
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"50-54";"Centros Poblados y Rural Disperso";"mujeres";92
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"55-59";"Cabecera Municipal";"hombres";362
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"55-59";"Cabecera Municipal";"mujeres";365
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"55-59";"Centros Poblados y Rural Disperso";"hombres";94
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"55-59";"Centros Poblados y Rural Disperso";"mujeres";73
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"60-64";"Cabecera Municipal";"hombres";280
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"60-64";"Cabecera Municipal";"mujeres";277
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"60-64";"Centros Poblados y Rural Disperso";"hombres";85
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"60-64";"Centros Poblados y Rural Disperso";"mujeres";48
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"65-69";"Cabecera Municipal";"hombres";206
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"65-69";"Cabecera Municipal";"mujeres";209
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"65-69";"Centros Poblados y Rural Disperso";"hombres";77
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"65-69";"Centros Poblados y Rural Disperso";"mujeres";36
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"70-74";"Cabecera Municipal";"hombres";143
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"70-74";"Cabecera Municipal";"mujeres";151
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"70-74";"Centros Poblados y Rural Disperso";"hombres";59
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"70-74";"Centros Poblados y Rural Disperso";"mujeres";30
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"75-79";"Cabecera Municipal";"hombres";89
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"75-79";"Cabecera Municipal";"mujeres";98
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"75-79";"Centros Poblados y Rural Disperso";"hombres";32
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"75-79";"Centros Poblados y Rural Disperso";"mujeres";23
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"80+";"Cabecera Municipal";"hombres";139
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"80+";"Cabecera Municipal";"mujeres";186
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"80+";"Centros Poblados y Rural Disperso";"hombres";44
1985;"08";"ATLÁNTICO";"08078";"BARANOA";"80+";"Centros Poblados y Rural Disperso";"mujeres";41
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"0-4";"Cabecera Municipal";"hombres";1254
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"0-4";"Cabecera Municipal";"mujeres";1191
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"0-4";"Centros Poblados y Rural Disperso";"hombres";121
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"0-4";"Centros Poblados y Rural Disperso";"mujeres";118
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"10-14";"Cabecera Municipal";"hombres";1253
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"10-14";"Cabecera Municipal";"mujeres";1192
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"10-14";"Centros Poblados y Rural Disperso";"hombres";123
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"10-14";"Centros Poblados y Rural Disperso";"mujeres";118
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"15-19";"Cabecera Municipal";"hombres";1314
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"15-19";"Cabecera Municipal";"mujeres";1247
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"15-19";"Centros Poblados y Rural Disperso";"hombres";120
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"15-19";"Centros Poblados y Rural Disperso";"mujeres";119
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"20-24";"Cabecera Municipal";"hombres";1274
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"20-24";"Cabecera Municipal";"mujeres";1211
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"20-24";"Centros Poblados y Rural Disperso";"hombres";113
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"20-24";"Centros Poblados y Rural Disperso";"mujeres";117
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"25-29";"Cabecera Municipal";"hombres";1012
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"25-29";"Cabecera Municipal";"mujeres";977
1985;"08";"ATLÁNTICO";"08137";"CAMPO DE LA CRUZ";"25-29";"Centros Poblados y Rural Disperso";"hombres";96
